,index,Y_01
0,11677,1.8650602409638557
1,11677,1.8183117954357986
2,38525,1.8636655948553054
3,38503,1.8109331860850357
4,39541,1.873841236014917
5,39550,1.9177570093457947
6,28865,1.8014987510407996
7,28854,1.8014987510407996
8,6154,1.8251437962202135
9,6170,1.8251437962202135
10,14970,2.027566124727008
11,14965,2.027566124727008
12,35781,1.8270861833105334
13,35780,1.8756785524215005
14,17100,1.83433242506812
15,17122,1.9367556468172482
16,750,1.8888830208608398
17,753,1.8636655948553054
18,5016,1.871077908217716
19,5032,1.954912414318355
20,19457,1.8138919514884235
21,19453,1.8138919514884235
22,22892,1.9561643835616438
23,22891,1.9611532625189678
24,10833,1.87979824794266
25,10791,1.8119205298013246
26,12345,1.864595607927156
27,12350,1.864595607927156
28,7407,2.0738577484691474
29,7406,2.0600760456273766
30,22982,1.8960820404943466
31,22983,1.8960820404943466
32,17337,1.9089770354906055
33,17330,1.8453290008123475
34,31931,1.8599355531686361
35,31930,1.8207578253706755
36,31505,1.9089770354906055
37,31479,2.09547248664964
38,13803,1.8632699008308764
39,13777,1.8168591084204733
40,7374,2.0224523983442904
41,7362,1.8844458564998678
42,16291,2.088067211201867
43,16297,1.9239860320744957
44,6272,1.8099552486187844
45,6298,1.8198016483516481
46,8082,1.8309920829920832
47,8079,1.9394674525884164
48,25299,1.823222374554428
49,25319,1.8595337093741606
50,37704,2.014334312285854
51,37698,1.8044932114159047
52,16789,1.8665259497057252
53,16794,1.8665259497057252
54,2808,2.0135568070519096
55,2794,1.8730015991471218
56,17563,1.8669901043059642
57,17587,1.8290560262366766
58,19845,1.9235518758085381
59,19849,1.838214790647091
60,36417,2.0912403353516535
61,36396,1.8069800774764804
62,23136,1.8266299945265463
63,23134,1.8266299945265463
64,13354,2.0073092428711896
65,13345,1.8898854579044604
66,7675,1.8453788248036826
67,7677,2.034664411693646
68,3169,1.8520129484758565
69,3155,1.8916910097548114
70,16317,1.8505955723542116
71,16317,1.9239860320744957
72,33299,1.8338882529299536
73,33295,1.8338882529299536
74,6413,1.8453788248036826
75,6392,1.823222374554428
76,29153,1.913503904216554
77,29152,1.8970848883048619
78,35212,1.8039950110864742
79,35236,1.8425202061296446
80,24149,2.149159498207885
81,24204,1.8198219780219778
82,24652,1.8401738185768604
83,24652,1.9258583979328168
84,25554,1.8114501794093292
85,25539,2.0588160837497025
86,23986,1.9184541915390605
87,23992,1.9184541915390605
88,11320,1.9722391959798997
89,11293,1.8689190488912635
90,8356,1.8473302677846901
91,8340,1.8392152173913043
92,20670,1.8544288793103447
93,20606,1.812439172413793
94,28057,1.9569272127821455
95,28064,1.9569272127821455
96,34870,2.0462144399136486
97,34871,2.0462144399136486
98,7896,1.8094689140646585
99,7876,1.8059911406423033
100,25025,1.85112334682861
101,25017,1.8567823513586226
102,27061,1.8154139355549435
103,27066,1.8502295436132865
104,36833,1.8237582236842103
105,36838,1.841174267100977
106,7990,1.8305718186783178
107,7990,1.8855400899708916
108,8982,1.8129448428019854
109,8991,1.8129448428019854
110,3280,1.8841731991525423
111,3276,1.8777655502392343
112,19811,1.949536815286624
113,19810,1.8315409388646287
114,35200,1.9259953488372092
115,35166,1.862938873994638
116,8818,1.922515277058519
117,8769,1.8563719052744887
118,2623,1.842131850244167
119,2632,1.8124502068965516
120,22813,2.0535601719197705
121,22820,2.0535601719197705
122,28854,1.875926024481107
123,28856,1.9720170897210356
124,18520,1.9155117004680187
125,18515,1.8887210776545165
126,3274,1.884719089224252
127,3296,1.8517042633567191
128,38311,1.8392956521739132
129,38325,1.8426536479522648
130,28725,1.9539130876747142
131,28713,1.9668421583459408
132,2670,1.9036711180937422
133,2673,1.908566057441253
134,2703,1.845998917162967
135,2700,1.8493315320183736
136,544,1.8597238785925332
137,548,1.8479048134126554
138,28118,1.8978497109826589
139,28117,1.9356382322713257
140,34471,1.9125501432664758
141,34465,1.821822173435785
142,27884,1.8119646799116997
143,27886,1.9147554630593135
144,16719,1.8223122085048011
145,16717,1.958524075012671
146,1622,1.8373710554951037
147,1639,1.8416955223880596
148,31559,1.9219041450777203
149,31546,1.8188922484881802
150,29562,1.8179070407040705
151,29562,1.8179070407040705
152,29383,2.052626673040153
153,29384,2.052626673040153
154,36432,2.0939343880874826
155,36447,2.0496431992337163
156,2399,1.9498598726114649
157,2395,1.976904761904762
158,10173,1.8677406417112299
159,10182,1.959113250570053
160,22545,2.0195557725164752
161,22523,2.0195557725164752
162,13192,1.813955347298787
163,13192,1.813955347298787
164,23945,1.8834366719660838
165,23924,1.8119729580573951
166,21954,1.9154403120936283
167,21986,1.845611697806661
168,12500,1.894445497630332
169,12499,1.9592835064606031
170,6470,1.8321167803547067
171,6466,1.8321167803547067
172,19063,1.8921813867650934
173,19066,1.866876404494382
174,23917,1.8124766896551723
175,23916,1.8124766896551723
176,18451,1.8650069630423143
177,18469,1.8650069630423143
178,29994,1.9029950222687977
179,30013,1.9029950222687977
180,28123,1.8233320537428022
181,28136,1.8296852459016393
182,7290,2.12707580241293
183,7297,2.12707580241293
184,23804,1.8466121786197567
185,23798,1.8466121786197567
186,36275,1.9506026490066228
187,36272,1.8817724137931033
188,7878,1.804496536436686
189,7857,1.9690382871536525
190,1340,1.9265328165374678
191,1341,1.834087762333061
192,35211,1.9282751677852348
193,35213,1.8039950110864742
194,36033,1.850906587473002
195,36033,1.850906587473002
196,8258,1.877165425531915
197,8227,1.836510070767556
198,12967,1.895447894736842
199,12989,1.8074998616874136
200,34481,1.91423477355544
201,34468,1.8054987538078093
202,21094,1.9013071072646208
203,21108,1.9343451646090535
204,20184,1.8990582983193276
205,20203,1.8287353745215964
